cluster_id,ox,oy,dx,dy,flow,distance_m,riding_time_s,is_workday,origin_id,destination_id,semantics_origin,semantics_dest,semantics_id_origin,semantics_id_dest,category_origin,category_dest,category_id_origin,category_id_dest
156,114.35355750798772,30.54187933572209,114.35224201997407,30.5294796316485,8,1622.125,618.875,非工作日,824.0,178.0,桂园3舍,南二门,161.0,60.0,学生宿舍,交通枢纽,4.0,0.0
132,114.35185934136103,30.529752981026594,114.35165305465793,30.540386066317197,8,1703.375,541.875,非工作日,167.0,786.0,南二门,计算机学院,60.0,442.0,交通枢纽,教学区域,0.0,6.0
124,114.35301659816176,30.529977591910466,114.3522189437433,30.540463244721558,8,1610.625,509.875,非工作日,180.0,798.0,武汉大学信息部学生宿舍11舍,电子信息学院,242.0,391.0,学生宿舍,教学区域,4.0,6.0
112,114.3639826932261,30.539305642415528,114.35320636440971,30.529145538640524,8,1991.625,621.375,非工作日,543.0,175.0,枫园14舍,武汉大学信息学部四食堂,148.0,209.0,学生宿舍,食堂,4.0,10.0
145,114.35207460386144,30.52930516050226,114.3591071763166,30.53855241257907,8,1977.0,634.375,非工作日,174.0,693.0,南二门,武汉大学梅园四、五舍,60.0,328.0,交通枢纽,学生宿舍,0.0,4.0
72,114.3499154347263,30.52924663828402,114.35299683682844,30.529198679353662,8,703.875,306.0,非工作日,162.0,176.0,国际软件学院C3宿舍,南二门,74.0,60.0,学生宿舍,交通枢纽,6.0,0.0
64,114.3689697439818,30.539218154659775,114.35235329264027,30.52920530211079,8,2658.0,863.75,非工作日,139.0,174.0,武汉大学国际教育学院,南二门,304.0,60.0,教学区域,交通枢纽,6.0,0.0
61,114.35204020746328,30.534353823122064,114.36403008438535,30.53942937121481,8,2041.25,713.25,非工作日,426.0,854.0,武汉大学信息学部教工宿舍34栋,枫园14舍,225.0,148.0,教工宿舍,学生宿舍,7.0,4.0
89,114.36024451540504,30.54376769249778,114.35579718062655,30.5273379570247,8,2621.25,800.375,非工作日,1090.0,44.0,工学部15舍,南门,96.0,67.0,学生宿舍,交通枢纽,4.0,0.0
86,114.3659026657984,30.53991107834237,114.3559985542052,30.527492733079654,8,2132.625,662.0,非工作日,840.0,53.0,枫园一舍,南门,149.0,67.0,学生宿舍,交通枢纽,4.0,0.0
34,114.35245564918786,30.540393172042883,114.35390102845584,30.530026314108625,8,1717.125,686.0,非工作日,798.0,243.0,电子信息学院,信息学部6舍,391.0,38.0,教学区域,学生宿舍,6.0,4.0
27,114.35643572631604,30.538263698401664,114.36505984179097,30.54464702783858,8,1356.75,513.125,非工作日,617.0,1183.0,文理学部教5楼,未知,135.0,-1.0,教学区域,其他,6.0,2.0
21,114.35245065292432,30.540423169870145,114.35404462730953,30.530916955863045,8,1655.875,649.75,非工作日,798.0,249.0,电子信息学院,信息学部4舍,391.0,36.0,教学区域,学生宿舍,6.0,4.0
42,114.3641579359233,30.544677246200056,114.36682402871722,30.539828149274133,8,799.25,452.875,非工作日,1184.0,849.0,湖滨十三舍,枫园餐厅,370.0,159.0,学生宿舍,学生宿舍,4.0,10.0
36,114.36495416490078,30.543763940022778,114.35658528077546,30.538194413025185,8,1177.625,378.125,非工作日,910.0,616.0,湖滨食堂,武汉大学总图书馆,376.0,315.0,食堂,教学区域,10.0,6.0
5,114.36415968607793,30.54465637600238,114.35193361686336,30.53444039549764,8,1986.375,704.0,非工作日,1184.0,415.0,湖滨十三舍,牌坊,370.0,378.0,学生宿舍,交通枢纽,4.0,0.0
56,114.36405461750498,30.539405018672632,114.35934988879484,30.53786097640463,8,555.125,275.625,非工作日,543.0,687.0,枫园14舍,梅园食堂,148.0,169.0,学生宿舍,食堂,4.0,10.0
62,114.35186723541503,30.52941870155645,114.36197479752897,30.54107268877213,8,2022.5,691.25,非工作日,165.0,1043.0,南二门,中国儿童发展与保障研究所,60.0,22.0,交通枢纽,教学区域,0.0,6.0
90,114.35273640572848,30.52908194376232,114.35937485934251,30.53793153243769,8,2123.0,787.875,非工作日,176.0,687.0,南二门,梅园食堂,60.0,169.0,交通枢纽,食堂,0.0,10.0
97,114.35394136173265,30.530934852792363,114.35242997716755,30.540376617274212,8,1507.375,502.25,非工作日,249.0,798.0,信息学部4舍,电子信息学院,36.0,391.0,学生宿舍,教学区域,4.0,6.0
57,114.3605521919032,30.545236528425356,114.35188280504956,30.52948311968592,8,2674.875,756.875,非工作日,1213.0,165.0,未知,南二门,-1.0,60.0,其他,交通枢纽,2.0,0.0
54,114.35836213142223,30.538561311127694,114.36625839543693,30.53486074172985,8,1221.125,419.25,非工作日,695.0,470.0,武汉大学梅园二舍,珞东二门,326.0,382.0,学生宿舍,交通枢纽,4.0,0.0
0,114.35227414986412,30.530965773064576,114.35160561473033,30.54040101167388,7,1444.5714285714287,473.85714285714283,非工作日,187.0,786.0,武汉大学信息部学生宿舍15、16舍,计算机学院,245.0,442.0,学生宿舍,教学区域,4.0,6.0
3,114.35661715499772,30.53727209893318,114.36720353876174,30.539664911332213,7,1401.857142857143,421.85714285714283,非工作日,591.0,847.0,武汉大学总图书馆,枫园学生4舍,315.0,152.0,教学区域,学生宿舍,6.0,4.0
7,114.36492544086119,30.543560472695653,114.35312355902535,30.53625794484035,7,1727.142857142857,695.7142857142857,非工作日,910.0,450.0,湖滨食堂,武汉大学本科生院,376.0,319.0,食堂,教学区域,10.0,6.0
22,114.35664840569159,30.53725791492557,114.36593300301486,30.5399255629442,7,1311.7142857142858,431.57142857142856,非工作日,591.0,840.0,武汉大学总图书馆,枫园一舍,315.0,149.0,教学区域,学生宿舍,6.0,4.0
99,114.36404974980165,30.539373249649746,114.3520423200041,30.534256546016916,7,2239.714285714286,826.8571428571429,非工作日,543.0,426.0,枫园14舍,武汉大学信息学部教工宿舍34栋,148.0,225.0,学生宿舍,教工宿舍,4.0,7.0
87,114.35242324475337,30.54406691903233,114.35315485840518,30.536257523269178,7,1065.0,362.57142857142856,非工作日,1139.0,450.0,工学部学生新4栋,武汉大学本科生院,117.0,319.0,学生宿舍,教学区域,4.0,6.0
